iter	Passed	Remaining
736	1036	369
737	1037	368
738	1038	366
739	1040	365
740	1041	363
741	1042	362
742	1044	361
743	1045	359
744	1046	358
745	1048	356
746	1049	355
747	1050	353
748	1051	352
749	1053	351
750	1055	349
751	1056	348
752	1058	347
753	1059	345
754	1061	344
755	1062	342
756	1063	341
757	1064	339
758	1066	338
759	1067	337
760	1068	335
761	1070	334
762	1071	332
763	1072	331
764	1074	329
765	1075	328
766	1076	326
767	1077	325
768	1078	324
769	1080	322
770	1081	321
771	1082	319
772	1097	322
773	1098	320
774	1100	319
775	1101	318
776	1103	316
777	1104	315
778	1105	313
779	1107	312
780	1108	310
781	1108	309
782	1109	307
783	1110	306
784	1111	304
785	1112	302
786	1113	301
787	1114	299
788	1115	298
789	1116	296
790	1118	295
791	1119	293
792	1120	292
793	1121	290
794	1122	289
795	1123	287
796	1124	286
797	1125	284
798	1126	283
799	1127	281
800	1128	280
801	1129	278
802	1130	277
803	1132	276
804	1133	274
805	1135	273
806	1136	271
807	1137	270
808	1138	268
809	1139	267
810	1140	265
811	1141	264
812	1142	262
813	1143	261
814	1144	259
815	1146	258
816	1148	257
817	1149	255
818	1150	254
819	1151	252
820	1152	251
821	1153	249
822	1154	248
823	1155	246
824	1157	245
825	1158	243
826	1159	242
827	1160	241
828	1162	239
829	1163	238
830	1164	236
831	1166	235
832	1167	233
833	1168	232
834	1169	231
835	1170	229
836	1171	228
837	1172	226
838	1173	225
839	1174	223
840	1177	222
841	1179	221
842	1181	219
843	1182	218
844	1183	217
845	1184	215
846	1185	214
847	1186	212
848	1187	211
849	1188	209
850	1189	208
851	1191	206
852	1192	205
853	1194	204
854	1195	202
855	1196	201
856	1198	199
857	1199	198
858	1200	196
859	1201	195
860	1202	194
861	1203	192
862	1204	191
863	1205	189
864	1208	188
865	1209	187
866	1211	185
867	1212	184
868	1213	182
869	1214	181
870	1215	179
871	1216	178
872	1217	177
873	1218	175
874	1219	174
875	1220	172
876	1223	171
877	1224	170
878	1226	168
879	1227	167
880	1228	165
881	1229	164
882	1230	163
883	1231	161
884	1232	160
885	1233	158
886	1234	157
887	1235	155
888	1237	154
889	1238	153
890	1240	151
891	1241	150
892	1242	148
893	1243	147
894	1244	146
895	1245	144
896	1246	143
897	1247	141
898	1249	140
899	1250	138
900	1252	137
901	1253	136
902	1254	134
903	1255	133
904	1256	131
905	1257	130
906	1258	129
907	1259	127
908	1261	126
909	1262	124
910	1262	123
911	1264	121
912	1265	120
913	1267	119
914	1268	117
915	1270	116
916	1271	115
917	1272	113
918	1273	112
919	1274	110
920	1275	109
921	1276	107
922	1277	106
923	1278	105
924	1279	103
925	1280	102
926	1282	100
927	1283	99
928	1285	98
929	1286	96
930	1287	95
931	1288	94
932	1289	92
933	1290	91
934	1291	89
935	1292	88
936	1293	87
937	1295	85
938	1296	84
939	1297	82
940	1298	81
941	1300	80
942	1301	78
943	1302	77
944	1304	75
945	1305	74
946	1306	73
947	1307	71
948	1308	70
949	1309	68
950	1310	67
951	1312	66
952	1313	64
953	1314	63
954	1315	61
955	1317	60
956	1318	59
957	1319	57
958	1320	56
959	1321	55
960	1322	53
961	1323	52
962	1324	50
963	1326	49
964	1328	48
965	1329	46
966	1330	45
967	1331	44
968	1332	42
969	1333	41
970	1334	39
971	1336	38
972	1337	37
973	1339	35
974	1340	34
975	1341	32
976	1342	31
977	1344	30
978	1345	28
979	1346	27
980	1347	26
981	1348	24
982	1349	23
983	1350	21
984	1351	20
985	1352	19
986	1353	17
987	1354	16
988	1356	15
989	1358	13
990	1359	12
991	1360	10
992	1361	9
993	1362	8
994	1363	6
995	1364	5
996	1365	4
997	1366	2
998	1368	1
999	1369	0
